食物名稱,種類,能量,蛋白質,碳水化合物,脂肪,膳食纖維,糖,鈉
藍芝士,9,370,20.3,0,32.4,0,0,1089
赤郡芝士,9,387,24.2,0,32.5,0,0,580
車打芝士(經處理),9,306,20.9,0.1,24.9,0,0.1,1331
車打芝士(經處理，較低脂)[含少於10%脂肪],9,188,24.5,3.8,8.3,0,3.8,1440
車打芝士(較低脂)[含約15%脂肪],9,273,33.4,0,15.1,0,0,670
車打芝士(較低脂)[含約25%脂肪],9,336,28.9,0,24.2,0,0,550
車打芝士[淡味，特香及陳年種類],9,401,25.9,0,33.3,0,0,662
車打芝士醬,9,290,15.9,1.7,24.7,0,1.7,1416
軟芝士(白色霉菌面層)[包括布里芝士及金文拔芝士],9,345,18.6,0.1,30.3,0,0.1,593
較低脂奶,9,51,4,5.4,1.6,0,5.4,53
較低脂奶(咖啡味),9,61,3.2,8.8,1.6,0,8.8,47
較低脂奶(士多啤梨味),9,62,3.1,9.2,1.5,0,9.2,39
較低脂奶(朱古力味),9,61,3.3,8.3,1.8,0,8.3,55
較低脂忌廉(罐裝)[含約25%脂肪],9,259,2.9,3.3,26.4,0,3.3,34
較低脂淡奶[含約2%脂肪](罐裝),9,92,7.9,10.6,2.1,0,10.6,105
較低脂牛奶[含約1%脂肪],9,48,4.1,5.8,1,0,5.8,53
較稠忌廉(35%脂肪),9,347,2.2,3,36.8,0,3,37
較稠忌廉(經超高溫處理，35%脂肪),9,349,2.3,3.4,36.8,0,3.4,48
酸奶(發酵，2%脂肪),9,58,4.2,5.4,2,0,5.4,57
酸忌廉(低脂肪)[含約18%脂肪),9,218,3.9,4.7,20.3,0,4.7,51
酸忌廉(全脂),9,364,2.3,2.5,38.7,0,2.5,31
酸忌廉(超低脂肪)[含約12%脂肪],9,163,5.3,7,12.5,0,7,80
酸忌廉醬,9,200,4.4,4.4,17.4,0,4.4,600
金文拔芝士,9,302,19.5,0.1,25,0,0.1,610
雜錦碎芝士(薄餅用),9,312,28.8,0.1,21.9,0,0.1,715
高寶芝士,9,384,24,0.1,32.3,0,0.1,595
