食物名稱,種類,能量,蛋白質,碳水化合物,脂肪,膳食纖維,糖,鈉
白飯(中粒，沒有添加),1,130,2.38,28.59,0.21,0,0,0
白飯(短粒，沒有添加),1,130,2.36,28.73,0.19,0,0,0
白飯(長粒),1,130,2.69,28.17,0.28,0.4,0.05,1
白飯(長粒，半熟，沒有添加）,1,123,2.91,26.05,0.37,0.9,0.11,2
白飯(長粒，添加鹽),1,130,2.69,28.17,0.28,0.4,0.05,382
白飯(長粒，無添加鹽),1,130,2.69,28.17,0.28,0.4,0.05,1
白麵包(低鈉，無添加鹽),1,267,8.2,49.5,3.6,2.3,4.31,27
白麵包(烘過),1,293,9,54.4,4,2.5,4.74,592
白麵包(烘過，低鈉，無添加鹽),1,293,9,54.4,4,0,0,30
白麵包[包括軟麵包屑],1,266,7.64,50.61,3.29,2.4,4.31,681
硬白麥,1,342,11.31,75.9,1.71,12.2,0.41,2
硬紅冬麥,1,327,12.61,71.18,1.54,12.2,0.41,2
硬紅春麥,1,329,15.4,68.03,1.92,12.2,0.41,2
硬餐包[包括凱撒餐包],1,293,9.9,52.7,4.3,2.3,1.77,544
硬麵包圈(添加丙酸鈣)[添加洋葱、罌粟籽、芝麻],1,275,10.5,53.4,1.6,2.3,0,534
硬麵包圈(無添加丙酸鈣)[添加洋葱、罌粟籽、芝麻],1,275,10.5,53.4,1.6,2.3,0,534
碎麥(乾),1,342,12.29,75.87,1.33,18.3,0.41,17
碎麥(熟),1,83,3.08,18.58,0.24,4.5,0.1,5
碎麥粒麵包,1,260,8.7,49.5,3.9,5.5,0,538
碧根果仁酥餅,1,542,4.9,58.3,32.5,1.8,0,281
磅蛋糕(不含脂肪),1,283,5.4,61,1.2,1.1,34.34,341
磅蛋糕(牛油磅蛋糕除外，沒有添加),1,389,5.2,52.5,17.9,1,0,400
穀粉(沒有添加，乾),1,369,10.6,78,0.5,1.9,0,3
米小麥棒,1,409,9.09,72.73,9.09,1.8,31.8,500
米粉(乾),1,364,3.44,83.24,0.56,1.6,0,182
米粉(熟),1,109,0.91,24.9,0.2,1,0,19
米糠(未經加工),1,316,13.35,49.69,20.85,21,0.9,5
米糠麵包,1,243,8.9,43.5,4.6,4.9,4.67,440
米糠麵包(烘過),1,264,9.7,47.3,5,5.3,5.08,478
粗白粟米粉(普通及快熟，沒有添加，乾),1,371,8.8,79.6,1.2,1.6,0.64,1
粗白粟米粉(普通及快熟，煮，添加鹽),1,60,1.4,13,0.2,0.2,0,223
粗白粟米粉(普通及快熟，煮，無添加鹽),1,59,1.42,12.87,0.19,0.3,0.1,2
粗磨全穀白粟米粉,1,362,8.12,76.89,3.59,7.3,0.64,35
粗磨全穀黃粟米粉,1,362,8.12,76.89,3.59,7.3,0.64,35
粗磨白粟米粉(脱胚，沒有添加),1,369,7.25,79.15,1.79,4,1.66,7
粗磨白粟米自發粉((篩過，含小麥粉，添加),1,348,8.41,73.43,2.85,6.3,0,1319
粗磨白粟米自發粉(篩過，添加),1,334,8.28,70.28,3.4,6.7,0,1247
粗磨白粟米自發粉(脱胚，添加營養素),1,355,8.41,74.79,1.72,7.1,0,1348
粗磨黃粟米粉(脱胚，沒有添加),1,369,7.25,79.15,1.79,4,1.66,7
粗磨黃粟米自發粉(篩過，含小麥粉，添加),1,348,8.41,73.43,2.85,6.3,0,1319
粗磨黃粟米自發粉(篩過，添加),1,334,8.28,70.28,3.4,6.7,0,1247
粗磨黃粟米自發粉(脱胚，添加),1,355,8.41,74.79,1.72,7.1,0,1348
粗黃粟米粉(普通及快熟，沒有添加，乾),1,371,8.8,79.6,1.2,1.6,0.64,1
粗黃粟米粉(普通及快熟，煮，添加鹽),1,59,1.42,12.87,0.19,0.3,0.1,223
粗黃粟米粉(普通及快熟，煮，無添加鹽),1,59,1.42,12.87,0.19,0.3,0.1,2
粟米意粉(乾),1,357,7.46,79.26,2.08,11,0,3
粟米意粉(熟）,1,126,2.63,27.91,0.73,4.8,0,0
粟米粉,1,381,0.26,91.27,0.05,0.9,0,9
粟米鬆餅,1,305,5.9,50.9,8.4,3.4,7.5,521
粟米鬆餅(以多士爐烘焗),1,346,5.3,57.9,11.3,1.6,0,430
粟米鬆餅(以預拌粉製成),1,321,7.4,49.1,10.2,2.4,0,795
粟米麩皮(未經加工),1,224,8.36,85.64,0.92,79,0,7
粟米麵包(以預拌粉製成),1,314,7.2,48.1,10,2.4,0,778
粟米麵包預拌粉(沒有添加)[含粟米鬆餅預拌粉],1,418,7,69.5,12.2,6.5,0,1111
粟米麵包餡料(以餡料粉製成),1,179,2.9,21.9,8.8,2.9,3.92,455
粟米麵包餡料粉,1,389,10,76.7,4.2,14.3,4.77,1283
糙米(中粒，生),1,362,7.5,76.17,2.68,3.4,0,4
