食物名稱,種類,能量,蛋白質,碳水化合物,脂肪,膳食纖維,糖,鈉
海綿蛋糕預拌粉,1,349,6.4,69.9,4.8,1.7,32.4,610
火腿芝士法式鹹批(焗),1,311,9.8,18,22.1,1.5,3.2,478
無核提子乾麥麩片早餐穀類食品,1,325,8.3,62.1,2,13.6,23.9,275
燕麥片(煮，含添加鹽)[粥],1,66,2,10.2,1.4,1.7,0,28
燕麥片(煮，無添加鹽),1,66,2,10.2,1.4,1.7,0,1
燕麥片(生),1,377,11,58.1,8.7,9.5,0,7
燕麥甜餅,1,468,5.7,63.2,21.4,2.5,30.9,640
燕麥麩早餐穀類食品,1,411,11,50.8,15.7,12.3,16.4,100
爆米早餐穀類食品,1,356,5.3,80.8,0.5,1.3,9.8,719
爆米早餐穀類食品(可可面層),1,369,4.7,84.7,1.5,0.6,40.3,592
牛油蛋糕(不含糖霜面層),1,453,8.2,72.2,15.3,1.2,50.6,480
牛角包,1,362,9.4,33.5,20.7,2.8,4.8,214
班戟(以預拌粉製成),1,201,5.5,40,1.9,1,15,405
班戟預拌粉,1,337,9.3,67.2,3.2,1.7,25.2,680
瑞士卷,1,330,4.8,63.2,7,1.5,47.5,260
甘筍蛋糕(糖霜面層),1,336,5.8,33.1,20.4,1.5,26.1,280
甜餅,1,454,6.4,70.5,16.1,2,21.6,290
甜餅(朱古力味),1,441,6.2,65.3,17.2,1.9,23.9,308
甜餅(薑味),1,424,5.3,71.1,13.2,1.9,33.1,359
甜餅預拌粉,1,342,8.7,70.7,2.4,1.9,27.7,300
白扁平麵包[彼得或黎巴嫩式],1,275,9.1,52.6,2.1,3,3.4,451
白硬麵包圈,1,262,9.5,50.7,1.4,3.1,6.2,490
白硬麵包圈(烘過),1,298,10.8,57.6,1.6,3.5,7,557
白米(生),1,352,6.3,78.8,0.5,0.7,0.2,5
白酥脆鹹餅乾,1,431,10.5,63.4,14.2,2.9,3.6,640
白飯(煮，添加鹽),1,117,2,26.1,0.2,0.4,0.1,129
白飯(煮，無添加鹽),1,117,1.9,26.1,0.2,0.4,0.1,3
白餐包,1,291,10.2,51.6,3.8,3.5,3.4,566
白餐包(烘過),1,330,11.6,58.6,4.3,3.9,3.9,644
白麵包,1,250,7.7,46.8,2.7,2.8,3.6,476
白麵包(烘過),1,298,9.1,55.7,3.2,3.4,4.2,567
白麵包糠,1,359,12.5,66.2,3.6,4.1,4.4,680
白麵包預拌粉,1,253,9.6,47.4,1.8,2.8,3,555
白麵包預拌粉(脆皮),1,258,10.5,48.9,1.4,2.5,3.9,620
碎麥(乾),1,323,9.9,60.1,1.7,12.1,0.8,15
碎麥(浸水）,1,159,5.4,28.3,0.9,7.3,0.4,2
碎麥(煮，無添加脂肪或鹽),1,82,2.6,15.2,0.4,3.3,0,9
米小麥燕麥片早餐穀類食品,1,365,8.2,69.2,4.7,5.5,10.1,700
米小麥片早餐穀類食品(添加糖),1,369,19,66.4,2.2,2.6,15,544
米粉(煮),1,88,1.6,19,0.3,0.5,0,14
米粥(熟),1,46,0.8,10.2,0.1,0.1,0,1
米糠(經擠壓或粗略加工處理),1,393,14.1,26.5,20.4,25.5,6.5,8
米餅,1,398,7.6,81.6,3.4,2.2,1.8,369
粗磨粟米粉[玉米糊](煮，添加鹽，無添加脂肪),1,107,2.6,21.9,0.6,0.9,0.2,0
粗磨粟米粉[玉米糊](生),1,337,8.1,68.9,2,2.9,0.6,1
粘米粉,1,366,5.7,80.7,1.4,1,0.5,2
粟米片早餐穀類食品,1,359,6.7,78.5,0.8,3.6,8.8,815
粟米粉(以玉蜀黍及小麥澱粉製成),1,348,0.1,84.1,0.5,0.5,0.1,11
糙米(生),1,368,7.2,76.5,2.4,3.2,0.7,5
糙米飯(煮，添加鹽),1,154,3,31.8,1,1.5,0.3,110
糙米飯(煮，無添加鹽),1,153,2.9,31.8,1,1.5,0.3,3
糙米餅,1,363,8.5,71.3,3.4,4,0.8,2
耶克蕾亞朱古力泡芙條,1,391,6.3,32.7,26.2,2.9,22.9,162
肉批(一人裝，即食),1,230,7.8,18,13.7,1.9,0.9,500
肉批(家庭裝，即食),1,223,8.2,15.3,14.4,0,1,600
肉批(派對裝，即食),1,279,8.5,19,18.4,2.1,1.3,607
膨化全麥早餐穀類食品,1,358,11.9,65.8,2.5,10.1,1,3
芝士蛋糕(朱古力味，餅乾餅底，忌廉芝士面層),1,342,6.4,30.2,22.2,0.6,19.6,270
芝士蛋糕(餅乾餅底，忌廉芝士面層),1,342,6.4,30.2,22.2,0.6,19.6,270
芝麻全麥鹹餅亁,1,441,10.8,60.2,15.7,7.1,1.9,752
英式布甸蛋糕(經調味，以預拌粉製成),1,222,3.1,41,5.2,1.6,29.8,206
英式水果鬆餅(烘過),1,254,10.2,47,1.8,3.7,10.5,509
英式白鬆餅(烘過),1,233,10.1,42.2,1.5,3.7,2.6,476
菠菜意粉(乾，未經烹煮),1,365,11.9,73.1,1.3,4.4,2.7,38
菠菜意粉(以不含鹽的水煮),1,133,3.8,27.3,0.4,1.4,0.2,15
菠菜意粉(煮，添加鹽，無添加脂肪),1,133,3.8,27.3,0.4,1.4,0.2,58
菠菜芝士鹹酥餅(即食),1,291,9.4,24.7,16.4,2.5,2.7,490
菠菜餡三角酥(黎巴嫩菜),1,303,5.6,20.8,20.6,7.3,5.4,580
蒂洛匹達[芝士批](一人裝，即食),1,342,11.9,19.7,24,0.8,2,842
蒜蓉包(以植物牛油塗醬製成),1,344,9.2,45.5,13,3.6,3.1,685
蒜蓉包(以牛油製成),1,358,9.2,45.6,14.5,3.6,3.2,661
蔬菜肉類酥餅(即食),1,264,6.6,24.4,15.1,2.1,2.5,626
薄片酥皮(未焗),1,277,9.8,52.2,2.2,2.5,1.3,719
薄片酥皮(焗),1,383,12.2,72.9,3.2,4.3,2.1,790
薄脆餅乾(膨化及烘過),1,398,13,74.6,4,3,1.2,570
薄脆鹹餅乾,1,406,9.9,68.6,9.3,2.8,2.2,594
薄餅批皮,1,244,7.2,46.7,2.2,3,5.1,326
薏米(煮，無添加脂肪或鹽),1,90,2.4,16.6,0.7,2.9,0,11
薏米(生),1,325,8,61.2,2.4,11.4,0.7,15
蘋果批(含較多水果)(家庭裝),1,232,2.5,24.9,13.4,2,11.2,120
蘋果批(家庭裝),1,242,3,31.4,11.6,1.3,15.1,200
蘋果燕麥麩鬆餅(較低脂),1,279,5.2,51.4,5.5,3.2,27.3,290
蛋糕(以預拌粉製成，不含糖霜面層),1,314,5.6,43.1,13.6,0.8,25.4,480
蛋糕(朱古力味，以預拌粉製成，不含糖霜面層),1,323,6.1,40.8,15.3,1.4,25.7,518
蛋糕預拌粉,1,384,4.8,73.5,8.2,1.4,42.5,670
蛋糕預拌粉(朱古力味),1,390,5.4,69.1,10.4,2.4,42.6,730
裸麥粗麵包,1,212,6.4,38.3,1.6,8.9,4.2,702
裸麥粗麵包(烘過),1,256,7.7,46.1,1.9,10.8,5.1,846
酥皮(以植物油製成，未焗),1,331,5.5,32.9,19,3.4,1,160
酥皮(以牛油製成，焗),1,430,7.1,42.7,24.7,4.4,1.3,208
酥皮(未焗),1,331,5.5,32.9,19,3.4,1,160
酥皮(焗),1,440,7,42.7,26.5,1.6,1.7,545
酥脆餅(糖霜面層),1,485,9,59,23.4,1.9,11.3,405
雜錦果麥(未烘過或天然，沒有強化),1,343,11,51.5,8.4,9.8,21,58
雜錦果麥(烘過),1,405,9,54.6,14.8,10.1,19.7,126
雜錦穀物片早餐穀類食品[小麥、粟米、米],1,330,7.2,65,2.7,8.9,22,30
雜錦穀物粒早餐穀類食品[小麥、燕麥、粟米],1,367,18.1,67.5,2.6,2.3,37.1,668
雜錦穀物餐包,1,246,11.1,40.3,3,5.6,2.3,660
雜錦穀物餐包(烘過),1,293,13.2,48,3.6,6.7,2.7,786
雜錦穀物麵包,1,237,8.8,41,2.9,4.8,2.7,474
雜錦穀物麵包(烘過),1,283,10.4,48.8,3.5,5.8,3.2,564
雲呢拿吉士酥切餅,1,209,3.3,29,9.1,0.4,14.3,173
飯[金米](半熟，煮，添加鹽),1,123,2.2,26.8,0.4,0.7,0.3,108
飯[金米](半熟，煮，無添加鹽),1,123,2.1,26.8,0.4,0.7,0.3,3
飯[金米](半熟，生),1,363,6.6,78.7,1.2,2.7,0.8,5
餅(朱古力面層),1,473,6.5,58.5,24,1.4,27.6,250
餅(糖霜面層),1,418,5.4,71.2,12.8,1.5,40.2,243
餡料(主要成分為麵包),1,193,6.4,21.6,8.4,2.4,1.4,520
餡餅皮(以預拌粉焗),1,432,7.4,42.4,25.3,2.6,0,765
餡餅皮預拌粉(未經處理),1,463,7.8,47.3,26.4,2.8,0,828
香腸卷(一人裝，即食),1,290,8,24.2,17.6,2,2.4,618
香腸卷(派對裝，即食),1,306,9.1,21,20.3,1.9,1.9,652
鹹餅乾(其他味道),1,498,9.4,59,24.1,3.4,4.3,1066
鹹餅乾(芝士味),1,489,12.9,57.6,22.1,3.4,3.2,955
麥包(以麥粉或白麵粉加全麥麵粉製成),1,242,9.7,41.9,2.5,5,1.5,500
麥包(以麥粉或白麵粉加全麥麵粉製成，烘過),1,288,11.6,49.9,3,6,1.8,595
麥芽,1,307,22.3,29.6,7,18.3,7.5,10
麥麩片早餐穀類食品,1,342,12,59.3,2.6,16.2,10.6,380
麥麩粒早餐穀類食品,1,319,13.4,41,4.9,30,15,650
麩皮鬆餅(經調味),1,272,5.8,36.6,10.6,4.9,16.1,470
麩質[小麥蛋白],1,383,74.9,14.3,2.2,0,0.1,191
麵包(不含麩質),1,247,7.1,42.8,4.4,3.1,6.4,502
麵包(不含麩質，烘過),1,290,8.4,50.4,5.2,3.6,7.5,591
黑麥薄脆鹹餅乾,1,340,10.8,60.5,2.5,14.4,1.8,480
即食米粉(含調味料),1,371,7.3,70.2,6.8,1.6,8,2385
新鮮河粉,1,220,4.3,49.3,0.6,0.2,0,114
白米,1,361,6.6,82,0.8,0.6,0,31
白米(蒸熟),1,133,2.3,30.3,0.3,0.2,0,34
米(經機器打磨),1,362,7.4,77.7,2.4,2.8,0,12
米粉(乾),1,376,6.1,86.4,0.7,1.3,0,13
糯米,1,355,6.3,81,0.6,2.8,0,7
糯米(蒸熟),1,229,4.6,52,0.3,0.3,0,12
黑糯米,1,360,7.5,76.1,2.9,4.9,0,0
