食物名稱,種類,能量,蛋白質,碳水化合物,脂肪,膳食纖維,糖,鈉
蜜柑(罐裝，果汁浸，瀝乾),4,38,0.75,9.41,0.04,1.2,8.25,5
蜜柑(罐裝，稀糖水浸),4,61,0.45,16.19,0.1,0.7,15.49,6
蜜棗,4,277,1.81,74.97,0.15,6.7,66.47,1
蜜瓜,4,36,0.54,9.09,0.14,0.8,8.12,18
西印度櫻桃,4,32,0.4,7.69,0.3,1.1,0,7
西柚瓣(罐裝，果汁浸，連液體),4,37,0.7,9.21,0.09,0.4,8.8,7
西柚瓣(罐裝，水浸，連液體),4,36,0.58,9.15,0.1,0.4,8.75,2
西柚瓣(罐裝，稀糖水浸，連液體),4,60,0.56,15.44,0.1,0.4,15.04,2
西梅(罐裝，濃糖水浸，連液體),4,105,0.87,27.8,0.2,3.8,0,3
西梅(脫水[低水分]，未經烹煮),4,339,3.7,89.07,0.73,0,0,5
西梅(脫水[低水分]，燴),4,113,1.23,29.7,0.24,0,0,2
西梅漿,4,257,2.1,65.1,0.2,3.3,39,23
西瓜,4,30,0.61,7.55,0.15,0.4,6.2,1
覆盆子,4,52,1.2,11.94,0.65,6.5,4.42,1
費約果,4,49,1.24,10.63,0.78,0,0,3
車厘子批餡料(罐裝),4,115,0.37,28,0.07,0.6,0,18
車厘子批餡料(罐裝，低卡路里),4,53,0.82,11.98,0.16,1.2,9.15,12
酸紅車厘子,4,50,1,12.18,0.3,1.6,8.49,3
酸紅車厘子(罐裝，濃糖水浸，連液體),4,91,0.73,23.27,0.1,1.1,22.17,7
酸紅車厘子(罐裝，稀糖水浸，連液體),4,75,0.74,19.3,0.1,0.8,0,7
酸紅車厘子(雪藏，無添加糖),4,46,0.92,11.02,0.44,1.6,9.02,1
醃青橄欖(罐裝或瓶裝),4,145,1.03,3.84,15.32,3.3,0.54,1556
醋栗,4,44,0.88,10.18,0.58,4.3,0,1
醋栗(罐裝，稀糖水浸，連液體),4,73,0.65,18.75,0.2,2.4,0,2
野生藍莓(罐裝，濃糖水浸，瀝乾),4,107,0.56,28.32,0.34,4.9,19.28,1
野生藍莓(雪藏),4,51,0,13.85,0.16,4.4,0,3
金奇異果,4,60,1.23,14.23,0.56,2,10.98,3
金提子乾(無核),4,302,3.39,79.52,0.46,4,59.19,12
金橘,4,71,1.88,15.9,0.86,6.5,9.36,10
雜果(罐裝，濃糖水浸，瀝乾),4,70,0.47,18.8,0.1,1.7,17.14,6
雜果[桃、梨及菠蘿](罐裝，濃糖水浸，連液體),4,72,0.37,18.76,0.1,1,0,4
雜果[桃、甜及酸車厘子、覆盆子、提子及博伊森莓](雪藏，添加糖),4,98,1.42,24.23,0.18,1.9,0,3
雜果[桃、菠蘿、梨、提子及車厘子](罐裝，果汁浸，連液體),4,46,0.46,11.86,0.01,1,10.86,4
雜果[桃、菠蘿、梨、提子及車厘子](罐裝，水浸，連液體),4,32,0.42,8.51,0.05,1,7.51,4
雜果[桃、菠蘿、梨、提子及車厘子](罐裝，濃糖水浸，連液體),4,73,0.39,18.91,0.07,1,17.91,6
雜果[桃、菠蘿、梨、提子及車厘子](罐裝，稀糖水浸，連液體),4,57,0.4,14.93,0.07,1,13.93,6
雜果乾[西梅、杏及梨],4,243,2.46,64.06,0.49,7.8,0,18
青大蕉(炸),4,309,1.5,49.17,11.81,3.5,3.63,2
青奇異果,4,61,1.14,14.66,0.52,3,8.99,3
青檸,4,30,0.7,10.54,0.2,2.8,1.69,2
香肉果,4,134,2.12,33.76,0.6,2.6,0,10
香蕉,4,89,1.09,22.84,0.33,2.6,12.23,1
香蕉(脫水或粉),4,346,3.89,88.28,1.81,9.9,47.3,3
馬拉斯奇諾櫻桃(罐裝，瀝乾),4,165,0.22,41.97,0.21,3.2,38.77,4
麵包果,4,103,1.07,27.12,0.23,4.9,11,2
黃大蕉(炸，拉丁菜),4,236,1.42,40.77,7.51,3.2,21.76,6
黑莓,4,43,1.39,9.61,0.49,5.3,4.88,1
黑莓(罐裝，濃糖水浸，連液體),4,92,1.31,23.1,0.14,3.4,19.7,3
黑莓(雪藏，無添加糖),4,64,1.18,15.67,0.43,5,10.67,1
龍眼,4,60,1.31,15.14,0.1,1.1,0,0
龍眼乾,4,286,4.9,74,0.4,0,0,48
三湖紅桔,4,43,0.8,10,0.3,1.3,0,1.4
中華獼猴桃[毛葉獼猴桃],4,61,0.8,14.5,0.6,2.6,0,10
久保桃,4,42,0.6,10,0.1,0.6,0,2
五月鮮桃,4,41,0.4,10,0.1,0.9,0,0
京白梨,4,57,0.2,13.7,0.5,1.4,0,0.7
人參果,4,87,0.6,21.2,0.7,3.5,0,7.1
伏蘋果,4,48,0.5,11.8,0.1,1.2,0,1.3
倭錦蘋果,4,54,0.2,13.6,0.2,1.7,0,0.6
冬果梨,4,46,0.4,12.8,0.2,4.3,0,0
冬果梨(罐頭),4,56,0.3,15.9,0,4.5,0,2
刺梨[茨梨，木梨子],4,63,0.7,16.9,0.1,4.1,0,0
印度蘋果,4,54,0.6,14.8,0.2,4.9,0,0
哈蜜瓜,4,34,0.5,7.9,0.1,0.2,0,26.7
四川紅桔,4,42,0.7,9.8,0.1,0.7,0,1.7
國光蘋果,4,56,0.3,13.3,0.3,0.8,0,1.3
密雲小棗,4,229,3.9,55.2,0.8,7.3,0,9.3
小葉桔,4,40,1.1,8.8,0.2,0.9,0,2.1
巨峰葡萄,4,51,0.4,12,0.2,0.4,0,2
巴梨,4,51,0.4,12.9,0.2,2.2,0,1
庫爾勒梨,4,42,0.1,13.4,0.1,6.7,0,3.7
慶豐桃,4,42,0.6,10.1,0.1,0.9,0,2.1
早桃(黃),4,41,0.4,10.1,0.1,1.1,0,1.3
早桔,4,57,1.2,12.6,0.2,0.1,0,0.9
早酥梨,4,50,0.2,13.6,0.2,3.6,0,0.2
旱久保桃,4,48,0.9,11.3,0.1,0.8,0,1.8
旱蘋果,4,34,0.4,8.4,0.2,1.7,0,0
明月梨,4,54,0.3,13.3,0.2,0.9,0,1.4
晚桃(黃),4,41,0.7,9.6,0.2,1,0,0.5
木梨,4,32,0.4,8.2,0.1,1.9,0,3
木瓜[番木瓜],4,29,0.4,7,0.1,0.8,0,28
李子,4,38,0.7,8.7,0.2,0.9,0,3.8
李子杏,4,37,1,8.6,0.1,1.1,0,1.5
杏,4,38,0.9,9.1,0.1,1.3,0,2.3
杏(罐頭),4,40,0.6,9.7,0.2,1.4,0,22.3
杏乾,4,338,2.7,83.2,0.4,4.4,0,40.4
